id,count
0,84.665
1,245.88
2,106.78
4,32.76
5,131.75666666666666
10,126.65
11,238.73
12,372.25
15,44.96
17,185.59
18,296.75
23,243.37
25,136.23
26,46.12
31,198.94
39,124.45
40,29.22
41,212.42
42,394.36
43,138.37
51,174.6
52,101.08
54,17.73
60,124.18
61,156.83
62,102.475
63,25.17
65,86.23
66,125.26
68,191.68
71,99.26
80,32.38
82,66.65
94,142.62
98,251.65
101,38.75
102,170.45
107,153.88
112,262.99
113,96.94
115,57.95
116,110.89
120,159.16
121,52.15
122,323.44
132,208.02200000000002
143,102.32
147,59.78
150,15.27
151,93.16
152,200.22
153,98.23
155,194.84
156,147.51
159,161.56
161,135.14
163,44.66
177,157.05
186,18.44
188,16.9
190,102.6
191,87.88
192,278.76
195,307.38
200,137.97
209,320.04
210,16.58
211,224.52
214,228.40666666666664
215,26.16
218,106.55
219,31.45
222,183.01
225,16.69
228,314.87
236,167.74
241,39.98
242,240.57
243,149.12
245,16.19
247,246.06
251,170.58
252,71.265
253,86.7
254,93.72
258,301.18
260,49.37
261,150.13
265,84.44
266,277.4
267,330.76
269,166.82
270,62.97
275,99.11
278,45.95
279,96.83
286,104.04
287,27.98
288,251.3
289,136.715
293,19.43
294,183.22
297,43.42
302,127.67
303,89.475
304,110.26
307,103.49
309,16.79
311,161.01
312,147.96
314,201.25
315,185.81
319,137.62833333333333
322,110.25
323,55.97
325,146.79
327,238.95
330,46.06
332,174.15
333,16.3
338,99.79
341,102.42
345,219.17
348,126.89
349,44.19
350,127.89
352,57.25
355,19.25
356,185.88
358,59.75
363,153.14
369,125.89
371,19.2
372,141.28
375,298.3
380,138.36
388,32.22
391,149.42
392,274.6
393,366.61
394,227.68
396,27.74
401,39.02
407,95.36
409,98.53
410,127.74
416,131.9
418,129.24
420,146.06
421,214.59
422,136.93
424,290.55
428,368.53
429,248.47
431,221.04666666666665
435,20.27
439,106.41
441,19.36
447,85.4
449,218.41
451,180.67
452,15.57
454,206.02
458,245.72
463,149.06
467,15.32
470,272.69
471,145.735
474,286.38
478,13.87
483,128.38
484,178.33
485,98.23
486,138.53
491,102.18
494,91.26
495,251.73
497,219.16666666666663
499,238.82
515,134.64
518,212.0
521,218.97
525,158.05
529,258.02
532,135.59
534,88.01
540,83.46
544,311.38
547,138.37
549,33.23
563,46.59
564,157.2
567,129.77
572,133.91
577,145.4
578,238.61
585,384.35
588,213.31
589,145.41
590,99.75
592,16.68
594,294.88
596,17.73
598,399.48
599,124.81
605,33.9
606,128.05
607,276.96
608,191.29416666666665
609,50.7
610,290.41
611,219.21
614,203.3
615,200.33
616,247.07
617,153.36
618,255.9
624,128.74
629,149.59
631,87.8
633,84.665
637,27.38
638,102.72
643,71.6
644,136.3
645,44.88
646,211.7
648,157.36
650,37.89
651,228.4
652,279.41
656,135.82
657,15.8
659,106.99
660,246.4
662,101.11
665,341.13
675,329.2
681,136.75
682,243.77
685,16.893333333333334
686,145.0
689,25.84
696,141.42
703,147.3
704,103.29
705,197.73666666666665
714,244.39
717,103.54
718,13.87
720,58.35
721,218.92
723,217.62
726,222.35
728,153.52
730,234.76
731,27.19
734,343.6
737,94.45
738,15.63
745,255.21
746,27.19
749,235.29
752,25.9
753,194.8
758,226.09
765,18.12
766,224.4
768,93.16
769,183.02
774,170.54
775,89.39
781,65.48
784,338.49
794,15.35
795,290.58
796,84.33
802,215.66
803,229.87
805,44.19
806,284.78
807,99.92
809,15.56
810,207.66
812,229.67
814,128.62
818,255.25
819,148.53
825,53.99
836,129.62
839,165.51
847,272.68
848,230.9
851,147.39
852,132.48
853,33.56
857,174.91
858,43.24
859,248.57
861,32.23
867,105.08
870,250.19
871,200.72
872,218.41
874,371.16
881,147.53
886,130.24
890,58.16
895,140.87
899,86.7
900,280.34
901,256.04
902,212.93
903,44.85
913,252.0
918,164.19
923,192.55599999999998
924,47.3
926,26.61
927,20.67
930,219.18
934,28.76
937,139.78
939,214.51
941,91.42
942,404.39
946,289.17
950,102.34
953,90.29
959,77.32
961,23.57
962,76.24
964,69.24
969,213.17
971,110.84
976,45.85
978,253.7
980,257.21
981,204.54
990,383.89
993,16.14
996,16.87
998,343.17
999,202.35
1006,105.18
1008,18.07
1013,24.95
1015,106.94428571428573
1016,137.26
1022,325.54
1026,216.9
1028,233.73
1031,100.9
1034,49.37
1037,187.98
1040,62.97
1042,17.28
1046,15.8
1048,108.66
1049,106.46
1050,56.82
1051,189.9
1052,237.69
1055,228.53
1060,134.89
1064,25.9
1066,74.13
1071,105.41
1073,15.17
1089,161.01
1091,127.3
1092,58.21
1093,247.93
1096,331.31
1097,228.97
1098,18.206666666666667
1099,43.24
1102,210.17
1107,99.99
1109,44.85
1111,199.46
